title,category,location,description,keywords,start_date,start_time,end_date,end_time,alarm_date,alarm_time,alarm,recur_type,recur_end_date,recur_interval,recur_data
Shavuot,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,6/13/2005,12:00:00 AM,6/14/2005,12:00:00 AM,6/13/2005,,0,0
Shavuot,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,5/26/2004,12:00:00 AM,5/27/2004,12:00:00 AM,5/26/2004,,0,0
Shavuot,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,6/6/2003,12:00:00 AM,6/7/2003,12:00:00 AM,6/6/2003,,0,0
Rosh Hashanah,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/4/2005,12:00:00 AM,10/5/2005,12:00:00 AM,10/4/2005,,0,0
Rosh Hashanah,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,9/16/2004,12:00:00 AM,9/17/2004,12:00:00 AM,9/16/2004,,0,0
Rosh Hashanah,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,9/27/2003,12:00:00 AM,9/28/2003,12:00:00 AM,9/27/2003,,0,0
Purim Katan,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,2/23/2005,12:00:00 AM,2/24/2005,12:00:00 AM,2/23/2005,,0,0
Purim Katan,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,2/16/2003,12:00:00 AM,2/17/2003,12:00:00 AM,2/16/2003,,0,0
Purim,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/25/2005,12:00:00 AM,3/26/2005,12:00:00 AM,3/25/2005,,0,0
Purim,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/7/2004,12:00:00 AM,3/8/2004,12:00:00 AM,3/7/2004,,0,0
Purim,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/18/2003,12:00:00 AM,3/19/2003,12:00:00 AM,3/18/2003,,0,0
Passover 7th day,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/30/2005,12:00:00 AM,5/1/2005,12:00:00 AM,4/30/2005,,0,0
Passover 7th day,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/12/2004,12:00:00 AM,4/13/2004,12:00:00 AM,4/12/2004,,0,0
Passover 7th day,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/23/2003,12:00:00 AM,4/24/2003,12:00:00 AM,4/23/2003,,0,0
Passover,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/24/2005,12:00:00 AM,4/25/2005,12:00:00 AM,4/24/2005,,0,0
Passover,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,4/6/2004,12:00:00 AM,4/7/2004,12:00:00 AM,4/6/2004,,0,0
